DaysFromInjection,OmpsLpPlumeTopHeightsKm,ModelPlumeTopHeightkm,"Model plume top height (km, point source emissions)","Model plume top height (km, smeared emissions)","Model plume top height (km, smeared emissions + modified optics)"
0,12.5,12.5,13.5,12.5,12.5
1,14.5,13.5,15.5,14.5,14.5
2,14.5,13.5,17.5,15.5,15.5
3,16.5,13.5,17.5,16.5,16.5
4,17.5,13.5,18.5,17.5,17.5
5,17.5,14.5,19.5,17.5,18.5
6,17.5,14.5,20.5,18.5,18.5
7,18.5,14.5,20.5,18.5,18.5
8,18.5,14.5,21.5,18.5,18.5
9,18.5,14.5,21.5,18.5,19.5
10,18.5,14.5,22.5,18.5,19.5
11,18.5,14.5,22.5,18.5,19.5
12,18.5,14.5,22.5,18.5,19.5
13,19.5,14.5,23.5,18.5,19.5
14,20.5,14.5,23.5,18.5,19.5
15,20.5,14.5,23.5,20.5,20.5
16,20.5,14.5,23.5,20.5,20.5
17,21.5,14.5,23.5,20.5,20.5
18,21.5,14.5,23.5,20.5,20.5
19,21.5,14.5,23.5,20.5,20.5
20,22.5,14.5,24.5,20.5,20.5
21,22.5,14.5,24.5,20.5,20.5
22,22.5,14.5,24.5,20.5,20.5
23,20.5,14.5,24.5,20.5,20.5
24,21.5,14.5,24.5,20.5,20.5
25,22.5,14.5,24.5,20.5,20.5
26,22.5,14.5,24.5,20.5,20.5
27,22.5,14.5,24.5,20.5,20.5
28,21.5,14.5,24.5,20.5,20.5
29,22.5,14.5,24.5,20.5,20.5
30,22.5,14.5,24.5,20.5,20.5
